Date,Forecasted_Close,,,,,,
5/30/2025,195.41492,,,,,,
5/31/2025,194.61789,,,,,,
6/1/2025,193.83209,,,,,,
6/2/2025,193.08594,,,,,,
6/3/2025,192.3931,,,,,,
6/4/2025,191.75655,,,,,,
6/5/2025,191.17247,,,,,,
6/6/2025,190.63306,,,,,,
6/7/2025,190.12875,,,,,,
6/8/2025,189.64973,,,,,,
6/9/2025,189.18686,,,,,,
6/10/2025,188.7322,,,,,,
6/11/2025,188.27931,,,,,,
6/12/2025,187.82347,,,,,,
6/13/2025,187.36142,,,,,,
6/14/2025,186.89133,,,,,,
6/15/2025,186.41255,,,,,,
6/16/2025,185.92557,,,,,,
6/17/2025,185.43146,,,,,,
6/18/2025,184.93196,,,,,,
6/19/2025,184.42905,,,,,,
6/20/2025,183.92488,,,,,,
6/21/2025,183.42163,,,,,,
6/22/2025,182.92133,,,,,,
6/23/2025,182.42581,,,,,,
6/24/2025,181.93658,,,,,,
6/25/2025,181.4549,,,,,,
6/26/2025,180.9817,,,,,,
6/27/2025,180.51767,,,,,,
6/28/2025,180.06311,,,,,,
